name,address,coordinates
Koufu ,Anchorpoint Alexandra Road #B1-287 Singapore 159953,"1.28861468740198,103.805009965174"
Koufu ,Cathay Cineleisure Grange Road #B1-22 Singapore 239693,"1.30140331482717,103.837328125596"
Koufu ,Gek Poh Shopping Mall Jurong West Street 75 #1-7 Singapore 640760,"1.34942545429356,103.699782251278"
Koufu ,JEM Shopping Mall Jurong Gateway Road #5-2 Singapore 608549,"1.33320021038331,103.743170436293"
KouFu , 535 Clementi Road #2-825 Singapore 599489,"1.3327625965271,103.771562462036"
Koufu ,South Spine Food Court Nanyang Avenue #-21 Singapore 639798,"1.34676465089635,103.678818138199"
Koufu ,University Town Create Way #1-12 Singapore 138602,"1.30399550833056,103.773492158612"
Koufu ,South Food Court Woodlands Avenue 9 #1-3 Singapore 738964,"1.44623773350471,103.782971177683"
Koufu ,Rivervale Plaza Rivervale Drive #2-61 Singapore 540118,"1.38493202032928,103.901558027564"
Koufu ,Sembawang Mart Canberra Road #1-1 Singapore 750511,"1.45384518348657,103.819543348907"
Koufu ,The Star Vista Vista Exchange Green #2-1 Singapore 138617,"1.3068488176344,103.788214531337"
Koufu ,Thomson Plaza Upper Thomson Road #1- Singapore 574408,"1.35466901882051,103.83091978573"
Koufu , Toa Payoh Lorong 6 #2-59 Singapore 310500,"1.33296549107728,103.847050355594"
Koufu ,Woodlands Mart Woodlands Avenue 6 #1-22 Singapore 730768,"1.44562289934866,103.798140996577"
Koufu ,Woodlands Mart Woodlands Avenue 6 #1-K2 Singapore 730768,"1.44562289934866,103.798140996577"
Koufu ,Yew Tee Point Choa Chu Kang North #B1-24 Singapore 689578,"1.39730190406932,103.746558072887"
Koufu ,Square 2 10 Sinaran Drive #4-27 Singapore 307506,"1.32042966145248,103.843892131406"
LeNu ,Bugis Juction Victoria Street #B1- Singapore 188021,"1.29911316126836,103.855411151136"
LeNu ,Compass One Sengkang Square #3- Singapore 545078,"1.39209415018227,103.894980032554"
LeNu ,Vivo City Harbourfront Walk #2- Singapore 98585,"1.2638958023183,103.821589254908"
McDonald's , Woodlands Avenue 6 #1-174 Singapore 731678,"1.44041529803397,103.801489472558"
McDonald's ,Alocassia Building Bukit Timah Road #1-K5 Singapore 259727,"1.31943616797969,103.82734585139"
McDonald's ,Big Mac Centre Ang Mo Kio Avenue 3 #1-10 Singapore 569922,"1.36931517500022,103.847153933684"
McDonald's , Ang Mo Kio Avenue 4 #1-195 Singapore 560163,"1.37355178419759,103.838168959464"
McDonald's , Ang Mo Kio Avenue 10 #1-151 Singapore 560448,"1.36744190106637,103.85639660628"
McDonald's , Ang Mo Kio Street 12 #-347 Singapore 567740,"1.37247443329906,103.844739982163"
McDonald's ,Shaw Plaza (Balestier) Balestier Road #1-31 Singapore 329783,"1.32512652659572,103.851055641727"
McDonald's ,Beauty World Centre Upper Bukit Timah #1-1 Singapore 588177,"1.34239284027459,103.776250531353"
McDonald's ,Bedok Mall New Upper Changi Road #1-11 Singapore 467360,"1.3247720681702,103.929267656464"
McDonald's ,Bedok North Shopping Mall Bedok North Street 3 #1-11 Singapore 460539,"1.33131386249995,103.925307293903"
McDonald's , Bedok Reservoir #1-22 Singapore 470744,"1.33786041785122,103.92166331056"
McDonald's , Bedok Reservoir Road #1-2 Singapore 470632,"1.33205094347947,103.914145082579"
NTUC Foodfare ,Khoo Teck Puat Hospital (KTPH) Yishun Central #1-12 Singapore 768828,"1.42387759833179,103.837853672353"
NTUC Foodfare ,Marina Bay Financial Centre (MBFC) Marina Boulevard #1-1 Singapore 18982,"1.27910566824917,103.854297426525"
NTUC Foodfare ,Mapletree Business City Pasir Panjang Road #2-21 Singapore 117439,"1.27482748253667,103.799064831461"
NTUC Foodfare , Choa Chu Kang Ave 4 #1-723 Singapore 680303,"1.38454839202587,103.743795770765"
NTUC Foodfare ,The Seletar Mall Sengkang West Avenue #3-37 Singapore 797653,"1.39139305815613,103.876067657689"
NTUC Foodfare ,Sembawang MRT Station Canberra Road #1-5 Singapore 759775,"1.44905081580218,103.820046146839"
Kopitiam ,Jcube Jurong East Central 1 #B1-10 Singapore 609731,"1.33326818684719,103.740176740726"
FEAST ,Jurong Point Jurong West Central 2 #3-15 Singapore 648331,"1.33936402101721,103.705308192584"
Cantine @ Jurong Point,Jurong Point Jurong West Central 2 #B1-14 Singapore 648886,"1.33983015257941,103.70646088413"
Kopitiam ,KK Women's and Children's Hospital (KKH) Bukit Timah Road #1-49 Singapore 229899,"1.31044852709848,103.84665008136"
Kopitiam ,Ng Teng Fong General Hospital Tower B Jurong East Street 21 #2-50 Singapore 609606,"1.33553381915144,103.743865454971"
Kopitiam ,Novena Square Thomson Road #3-17 Singapore 307683,"1.32021099973819,103.843656770909"
Kopitiam ,"National University Hospital (NUH), Main Building Lobby Lower Kent Ridge Road #1-53 Singapore 119074","1.29395305386479,103.782709521206"
Kopitiam ,Plaza Singapura 68 Orchard road #6-104 Singapore 238839,"1.3007475429726,103.845047622213"
Kopitiam ,Housemen's Canteen College Road #1-40 Singapore 169851,"1.28178340310202,103.834870636767"
Kopitiam ,Singapore General Hospital (SGH) Outram Road #1-K1 Singapore 169608,"1.27993968247,103.830721777631"
Kopitiam ,Sun Plaza Sembawang Drive #-47 Singapore 757713,"1.44822653184261,103.819462104528"
Kopitiam ,"Suntec City, Tower 3 Temasek Boulevard #3-40 Singapore 38983","1.29487904117327,103.857675497949"
Kopitiam ,Tampines 1 Tampines Central 1 #5-312 Singapore 529536,"1.35431555986081,103.945019461564"
Kopitiam ,Tampines Mall Tampines Central 5 #-9 Singapore 529510,"1.35267231590699,103.944387987324"
Kopitiam ,"Changi Airport Terminal 3 Airport Boulevard, Changi Airport Terminal 2 #B2-30 Singapore 819663","1.35437073617361,103.985169653268"
Kopitiam ,Tiong Bahru Plaza Tiong Bahru Road #3-57 Singapore 168732,"1.28646345318687,103.826935084287"
Kopitiam ,Tan Tock Seng Hospital (TTSH) Jalan Tan Tock Seng #1-37 Singapore 308433,"1.32171597672812,103.845389014275"
Kopitiam ,V Hotel Jellicoe Road #1- Singapore 208767,"1.30780927471219,103.862525582449"
Kopitiam ,Vivo City Harbourfront Walk #B2- Singapore 98585,"1.2638958023183,103.821589254908"
Kopitiam ,Yishun Community Hospital Yishun Central 2 #- Singapore 768024,"1.4237674551724,103.837242219706"
Kopitiam ,North Point Shopping Centre No. 930 Yishun Avenue 2 #B2- Singapore 768098,"1.43834696560297,103.831710034886"
Kopitiam ,Changi Airport Terminal 2 60 Airport Boulevard #3M- Singapore 819643,"1.35519094047222,103.98875098125"
Kopitiam ,Compass One 1 Sengkang Drive #4-156 Singapore 545078,"1.39209415018227,103.894980032554"
Kopitiam ,Rivervale Plaza Rivervale Drive #2-158 Singapore 540118,"1.38493202032928,103.901558027564"
McDonald's ,Clementi Bus Interchange Commonwealth Avenue West #1-39 Singapore 120441,"1.31498918492549,103.764128911366"
McDonald's ,Clifford Centre Raffles Place #B1-111 Singapore 48621,"1.28385698132703,103.852128172968"
McDonald's ,Compass One Sengkang Square #B1-15 Singapore 545078,"1.39209415018227,103.894980032554"
McDonald's ,"EHUB,Downtown East Pasir Ris Close #1-57 Singapore 519599","1.37714073427961,103.953599086806"
McDonald's ,Eastpoint mall Simei Street 6 #1-34 Singapore 528833,"1.34270618643901,103.953024503826"
McDonald's ,Elias Community Centre Pasir Ris Drive 3 #1-2 Singapore 519498,"1.37842943699246,103.942476405496"
McDonald's ,Fajar Shopping Centre Fajar Road #1-520 Singapore 670445,"1.38358044141428,103.770768312339"
McDonald's ,Serene Centre Jalan Serene Serene Centre #1-1 Singapore 258748,"1.32259059692345,103.813696296546"
McDonald's ,Forum Galleria Orchard Road #B1-25 Singapore 238884,"1.3061957946135,103.8285090172"
McDonald's ,Gardens By The Bay Marina Gardens Drive #2-4 Singapore 18953,"1.28129719795262,103.861149753623"
McDonald's ,Gek Poh Shopping Mall Jurong West Street 75 #2-250 Singapore 640762,"1.34874357157007,103.697732094254"
McDonald's , Aljunied Avenue 2 #1-1 Singapore 380113,"1.32052595673156,103.886159307862"
McDonald's ,Great World City Kim Seng Promenade #1-24 Singapore 237994,"1.29380234644512,103.83175791999"
McDonald's ,Harbourfront Centre Maritime Square #1-87 Singapore 99253,"1.26206336360052,103.818625592652"
McDonald's ,Hillion Mall Petir Road #B1-25 Singapore 678278,"1.37834971260865,103.76274117629"
McDonald's ,Kovan City Hougang Street 21 #1-217 Singapore 530208,"1.35869679740232,103.886636111849"
McDonald's ,Hougang 1 Shopping Mall Hougang Street 91 #1-26 Singapore 538692,"1.37566727990659,103.879450257387"
McDonald's , Hougang Avenue 8 #1-999 Singapore 530684,"1.37395840291964,103.886898460897"
McDonald's ,Hougang (Shell) Hougang Avenue 3 #1-1 Singapore 538846,"1.34925376630689,103.890144126594"
McDonald's ,Hougang Mall Hougang Avenue 10 #1-17 Singapore 538766,"1.37231185642959,103.89366161203"
McDonald's ,Beach Station @ Sentosa Siloso Beach Walk #1-4 Singapore 99010,"1.25200580026937,103.817554221282"
McDonald's ,SCAPE Orchard Link #2-43 Singapore 237978,"1.30086543417456,103.835700848396"
McDonald's ,The Seletar Mall Sengkang West Avenue #1-4 Singapore 797653,"1.39139305815613,103.876067657689"
McDonald's ,Rivervale Plaza Rivervale Drive #1-32 Singapore 540118,"1.38493202032928,103.901558027564"
McDonald's ,Sengkang Sports & Recreation Centre Anchorvale Road #2-3 Singapore 544964,"1.39550158699169,103.885784248377"
McDonald's , Serangoon Avenue 3 #1-37 Singapore 550267,"1.35317007436952,103.870954393835"
McDonald's ,Siglap Centre Siglap Road #1-7 Singapore 455871,"1.31260565034731,103.923168090089"
McDonald's ,Singapore Polytechnic Dover Road #1-13 Singapore 139651,"1.31123994786285,103.774471404046"
McDonald's ,Singapore Science Centre Science Centre Road #- Singapore 609081,"1.33322732339988,103.735660022862"
McDonald's ,SpringLeaf Tower Anson Road #1-3 Singapore 79909,"1.27508474969094,103.846246292598"
McDonald's ,Sun Plaza Sembawang Drive #1-19 Singapore 757713,"1.44822653184261,103.819462104528"
McDonald's ,Suntec City mall Temasek Boulevard #2-732 Singapore 38983,"1.29487904117327,103.857675497949"
McDonald's ,DBS Tampines Central Branch (POSB) Tampines Central 1 #1-150 Singapore 520513,"1.35391812400841,103.944395756351"
McDonald's , Tampines Central 1 #1-512A Singapore 520512,"1.35397684434497,103.943250563185"
McDonald's ,Tampines East Community Complex Tampines Street 23 #1-1 Singapore 529341,"1.35335682593432,103.954620461629"
McDonald's ,Tampines Mall Tampines Central 5 #1-33 Singapore 529510,"1.35267231590699,103.944387987324"
McDonald's ,Tampines Mart Tampines Street 32 #1-1 Singapore 529284,"1.35436981239791,103.95990645157"
McDonald's ,Tampiness Shell Tampines Avenue 2 #1-2 Singapore 529731,"1.3492087748244,103.947630246967"
McDonald's ,Tampines West Community Complex Tampines Avenue 3 #1-7 Singapore 529705,"1.34875076398822,103.935633408895"
McDonald's ,Temasek Polytechnic Tampines Avenue 1 #- Singapore 529757,"1.34793947802841,103.928839989349"
McDonald's ,The Metropolis North Buona Vista Drive #1-8 Singapore 138588,"1.30624556255115,103.791237459856"
McDonald's ,Tiong Bahru Plaza Tiong Bahru Road #1-145 Singapore 168732,"1.28646345318687,103.826935084287"
McDonald's ,600@Toa Payoh Toa Payoh Lorong 4 #1-2 Singapore 319515,"1.33404170687325,103.850955464061"
McDonald's ,HDB Hub Toa Payoh Toa Payoh Lorong 6 #1-11 Singapore 310490,"1.33257175025821,103.84805260799"
McDonald's ,IMM Jurong East Street 21 #1-18 Singapore 609601,"1.33489843717477,103.7467344968"
McDonald's ,Jcube Jurong East Central 1 #1-9 Singapore 609731,"1.33326818684719,103.740176740726"
McDonald's , Jurong Gateway Road #1-63 Singapore 608549,"1.33320021038331,103.743170436293"
McDonald's ,FairPrice Hub Joo Koon Circle #1-27 Singapore 629117,"1.32460664648867,103.678096364228"
McDonald's ,Junction 8 Bishan Place #1-20 Singapore 579837,"1.35023942729659,103.848477635059"
McDonald's ,SuperBowl Jurong Yuan Ching Road #- Singapore 618640,"1.32592599474027,103.724483286101"
McDonald's , Boon Lay Way #- Singapore 649849,"1.33917483114621,103.708655593626"
McDonald's , Jurong East Street 24 #1-38 Singapore 600256,"1.34423597841622,103.738257565754"
McDonald's ,Jurong Spring Community Centre Jurong West Avenue 1 #- Singapore 649520,"1.35055603170357,103.725341556777"
McDonald's ,Jurong Point Jurong West Central 2 #1-31 Singapore 648886,"1.33983015257941,103.70646088413"
McDonald's ,Jurong Spring Community Centre Jurong West Street 52 #1-5 Singapore 649296,"1.34833016917295,103.718155703267"
McDonald's , Stadium Road #- Singapore 397801,"1.30523370691918,103.881918209468"
McDonald's ,Keat Hong Choa Chu Kang Avenue 1 #1-2 Singapore 680818,"1.37802616114923,103.748826773909"
McDonald's , Yishun Ring Road #1-3669 Singapore 760846,"1.41676014281214,103.834594977147"
McDonald's ,KK Women's and Children's Hospital (KKH) Bukit Timah Road #1-33 Singapore 229899,"1.31044852709848,103.84665008136"
McDonald's ,Liang Court River Valley Road #1-01 Singapore 179030,"1.29149019698803,103.844668942167"
McDonald's ,Loyang Point Pasir Ris Street 21 #1-323 Singapore 510258,"1.36700053783377,103.964617781926"
McDonald's ,Lucky Chinatown New Bridge Road #1-10 Singapore 59432,"1.28365310601513,103.843309608147"
McDonald's ,Lucky Plaza Orchard Road #B1-19 Singapore 238863,"1.30448579103268,103.833941937816"
McDonald's ,Lucky Plaza Orchard Road #B1-19 Singapore 238863,"1.30448579103268,103.833941937816"
McDonald's ,Marina Square Raffles Boulevard #2-156 Singapore 39594,"1.29145525906521,103.857007341008"
McDonald's ,Marine Cove East Coast Parkway #1-449876 Singapore 449876,"1.30143328063999,103.912911307753"
McDonald's ,"Nanyang Technological University (NTU), Blk N2.1 Nanyang Drive #1-8 Singapore 637331","1.34713043824892,103.680033820175"
McDonald's ,"NUS, Lee Kong Chian Natural History Museum Estate Office Drive #- Singapore 119077","1.30132730954797,103.774277259655"
McDonald's ,NEX Serangoon Central #B2-05 Singapore 556083,"1.35043817177432,103.87170454945"
McDonald's ,KH KEA Building North Bridge Road #1- Singapore 188721,"1.29613873341912,103.853609536466"
McDonald's ,North Point Shopping Centre Yishun Avenue 2 #1-1 Singapore 769098,"1.42969847969485,103.835776496688"
McDonald's ,Parklane Shopping Mall Seletar Road #B1-38 Singapore 188307,"1.30065102287538,103.849441981412"
